material_id,creation_date,pr_item,po_type,po_category,date_delivery_requested,po_line,po_del_flag,po_item_del_flag,demand,first_requested_date,po_number,po_item,location_from_id,location_to_id
material_6,21-11-2019,0,External,FALSE,14-01-2020,1,#,#,23000,31-12-2019,po_number_1,po_item_1,supplier_20,manufacturing_plant_2
material_7,20-11-2019,0,External,FALSE,03-12-2019,1,#,#,892,11-12-2019,po_number_10,po_item_2,supplier_20,manufacturing_plant_2
material_19,23-04-2020,0,External,FALSE,19-05-2020,1,#,#,26500,19-05-2020,po_number_100,po_item_1,supplier_7,manufacturing_plant_2
material_30,12-02-2019,0,External,FALSE,23-07-2019,1,#,#,40,23-07-2019,po_number_1000,po_item_1,supplier_7,manufacturing_plant_4
material_22,31-03-2020,0,External,FALSE,27-05-2020,1,#,#,29000,27-05-2020,po_number_10000,po_item_1,supplier_38,manufacturing_plant_3
material_22,31-03-2020,0,External,FALSE,27-05-2020,1,#,#,29000,27-05-2020,po_number_10001,po_item_1,supplier_38,manufacturing_plant_3
material_22,31-03-2020,0,External,FALSE,27-05-2020,1,#,#,29000,27-05-2020,po_number_10002,po_item_1,supplier_38,manufacturing_plant_3
material_22,31-03-2020,0,External,FALSE,06-05-2020,1,#,#,29000,06-05-2020,po_number_10003,po_item_1,supplier_38,manufacturing_plant_3
material_22,31-03-2020,0,External,FALSE,27-05-2020,1,#,#,29000,27-05-2020,po_number_10004,po_item_1,supplier_38,manufacturing_plant_3
material_43,22-08-2019,0,External,FALSE,12-09-2019,1,#,#,11937,12-09-2019,po_number_10005,po_item_1,supplier_61,manufacturing_plant_4
material_22,31-03-2020,0,External,FALSE,27-05-2020,1,#,#,29000,27-05-2020,po_number_10006,po_item_1,supplier_38,manufacturing_plant_3
material_22,31-03-2020,0,External,FALSE,27-05-2020,1,#,#,29000,27-05-2020,po_number_10007,po_item_1,supplier_38,manufacturing_plant_3
material_22,31-03-2020,0,External,FALSE,27-05-2020,1,#,#,29000,27-05-2020,po_number_10008,po_item_1,supplier_38,manufacturing_plant_3
material_33,21-08-2019,10,External,FALSE,25-09-2019,1,#,#,227136,22-09-2019,po_number_10009,po_item_1,supplier_4,manufacturing_plant_4
material_28,18-10-2017,0,External,FALSE,01-11-2017,1,#,#,2564,30-10-2017,po_number_1001,po_item_6,supplier_57,raw_materials_warehouse_1
material_31,18-10-2017,0,External,FALSE,01-11-2017,1,#,#,902,30-10-2017,po_number_1001,po_item_4,supplier_18,raw_materials_warehouse_1
material_10,01-04-2020,0,External,FALSE,21-04-2020,1,#,#,26000,21-04-2020,po_number_10010,po_item_1,supplier_109,manufacturing_plant_4
material_10,01-04-2020,0,External,FALSE,21-04-2020,1,#,#,26000,21-04-2020,po_number_10011,po_item_1,supplier_109,manufacturing_plant_4
material_10,01-04-2020,0,External,FALSE,22-04-2020,1,#,#,26000,22-04-2020,po_number_10012,po_item_1,supplier_109,manufacturing_plant_4
material_10,01-04-2020,0,External,FALSE,22-04-2020,1,#,#,26000,22-04-2020,po_number_10013,po_item_1,supplier_109,manufacturing_plant_4
material_10,01-04-2020,0,External,FALSE,29-04-2020,1,#,#,19100,29-04-2020,po_number_10014,po_item_1,supplier_109,manufacturing_plant_4
material_10,01-04-2020,0,External,FALSE,27-04-2020,1,#,#,26000,27-04-2020,po_number_10015,po_item_1,supplier_109,manufacturing_plant_4
material_10,01-04-2020,0,External,FALSE,27-04-2020,1,#,#,26000,27-04-2020,po_number_10016,po_item_1,supplier_109,manufacturing_plant_4
